Dataset,Model,TR TIME,TR CPU%,TR Energy (J),Accuracy,Precision,Recall,F1 Score,MCC,TE TIME,TE CPU%,TE Energy (J),XAI,XAI TR TIME,XAI TR CPU%,XAI TR Energy (J),XAI TE TIME,XAI TE CPU%,XAI TE Energy (J)
QoS-QoE,DT,0.24972383957356215,17.093912760416703,325.87784045185447,1.0,1.0,1.0,1.0,1.0,0.003494194708764553,17.09391276041667,4.5597594036474165,Permutation Importance,4.660478992387652,17.090468295796196,6081.619559730667,2.3466709097847342,17.022705078125,3061.4011395755942
QoS-QoE,DT,0.24972383957356215,17.093912760416703,325.87784045185447,1.0,1.0,1.0,1.0,1.0,0.003494194708764553,17.09391276041667,4.5597594036474165,SHAP,1223.4309035353363,32.35669305428576,1696397.8730455209,521.1378454053774,43.876043311827765,754714.7199986245
QoS-QoE,DT,0.24972383957356215,17.093912760416703,325.87784045185447,1.0,1.0,1.0,1.0,1.0,0.003494194708764553,17.09391276041667,4.5597594036474165,LIME (ALL),4400.100967346691,87.08939165159765,7389291.03444377,1876.2066732309759,99.38680947856709,3274210.3159301262
QoS-QoE,KNN,0.010654402896761894,99.554443359375,18.602790479999726,0.8086696562032885,0.7991945592463237,0.8086696562032885,0.8015045781001947,0.4917820609739165,1.9696695497259498,99.554443359375,3439.0805663565948,Permutation Importance,2010.3419863367453,55.185687786788066,3033000.4516665526,877.3147758180276,31.422031570647945,1212090.492595718
QoS-QoE,KNN,0.010654402896761894,99.554443359375,18.602790479999726,0.8086696562032885,0.7991945592463237,0.8086696562032885,0.8015045781001947,0.4917820609739165,1.9696695497259498,99.554443359375,3439.0805663565948,SHAP,7458.450405447744,84.36523027374686,12416639.927483326,3198.341999246739,95.78557303787281,5519890.721630478
QoS-QoE,KNN,0.010654402896761894,99.554443359375,18.602790479999726,0.8086696562032885,0.7991945592463237,0.8086696562032885,0.8015045781001947,0.4917820609739165,1.9696695497259498,99.554443359375,3439.0805663565948,LIME (ALL),20469.286179835908,68.8773003844135,32381032.509253394,8757.257422462106,65.55732297319966,13697880.684860358
QoS-QoE,MLP,20.200639485381544,69.71128188380041,32046.162810553364,0.8587685037851391,0.8698247823616164,0.8587685037851391,0.8411376611176546,0.624365983562689,0.02017919346690178,69.7774251302082,32.019280143944215,Permutation Importance,22.79180123656988,70.1041364589015,36204.65748916139,10.64081905875355,70.67105689546442,16935.152341637437
QoS-QoE,MLP,20.200639485381544,69.71128188380041,32046.162810553364,0.8587685037851391,0.8698247823616164,0.8587685037851391,0.8411376611176546,0.624365983562689,0.02017919346690178,69.7774251302082,32.019280143944215,SHAP,3270.1405147928745,122.79074552803537,6116162.625042589,1391.2485974831507,143.47759005471377,2756002.0838994724
QoS-QoE,MLP,20.200639485381544,69.71128188380041,32046.162810553364,0.8587685037851391,0.8698247823616164,0.8587685037851391,0.8411376611176546,0.624365983562689,0.02017919346690178,69.7774251302082,32.019280143944215,LIME (ALL),4660.052245075814,107.76678141666103,8341238.794236816,1974.7460202956572,99.19413407789324,3444138.3949330635
QoS-QoE,SGD,7.171375968493521,99.95772406907597,12536.828283591358,0.7354260089686099,0.6518723749063878,0.7354260089686099,0.6309620210277779,0.05582031380306669,0.0035373158752918243,99.73958333333334,6.179723854485372,Permutation Importance,8.431258815340698,99.74203708377415,14729.598512423578,4.274526007473469,99.7445415884222,7467.750200980391
QoS-QoE,SGD,7.171375968493521,99.95772406907597,12536.828283591358,0.7354260089686099,0.6518723749063878,0.7354260089686099,0.6309620210277779,0.05582031380306669,0.0035373158752918243,99.73958333333334,6.179723854485372,SHAP,2904.151852818206,116.66034687774147,5336423.701440496,1245.8509279852733,123.51150335668754,2334925.166260767
QoS-QoE,SGD,7.171375968493521,99.95772406907597,12536.828283591358,0.7354260089686099,0.6518723749063878,0.7354260089686099,0.6309620210277779,0.05582031380306669,0.0035373158752918243,99.73958333333334,6.179723854485372,LIME (ALL),4412.8928959500045,103.93854902594558,7808476.42446667,1895.1649661436677,97.38370692101567,3286989.630926271
QoS-QoE,GNB,0.03259728569537401,99.39371744791723,56.88745830549407,0.3655913978494624,0.7159902271561981,0.3655913978494624,0.47382800878771736,0.11790650501494039,0.011433111503720284,99.39371744791667,19.952601576954354,Permutation Importance,20.404007744044065,98.42788896449271,35502.83724339345,6.25131843239069,97.08692310713592,10832.414256737316
QoS-QoE,GNB,0.03259728569537401,99.39371744791723,56.88745830549407,0.3655913978494624,0.7159902271561981,0.3655913978494624,0.47382800878771736,0.11790650501494039,0.011433111503720284,99.39371744791667,19.952601576954354,SHAP,2997.570490837097,115.58587687020388,5490854.4220824735,1289.431482290849,121.28414536743131,2401240.204166981
QoS-QoE,GNB,0.03259728569537401,99.39371744791723,56.88745830549407,0.3655913978494624,0.7159902271561981,0.3655913978494624,0.47382800878771736,0.11790650501494039,0.011433111503720284,99.39371744791667,19.952601576954354,LIME (ALL),4526.512356185354,104.10929776613457,8013656.597542866,1937.2751396093518,99.69507307997837,3383976.532154753
QoS-QoE,RF,6.43722824845463,98.79616487892855,11213.414482791233,0.99995178166739,0.9999519895050304,0.99995178166739,0.9999518314466239,0.9998779179153336,0.09005644172430038,98.468017578125,156.7169370865821,Permutation Importance,104.98158380761743,93.42855420286782,179859.99267975867,42.95903262961656,86.68902185123552,72051.07362920226
QoS-QoE,RF,6.43722824845463,98.79616487892855,11213.414482791233,0.99995178166739,0.9999519895050304,0.99995178166739,0.9999518314466239,0.9998779179153336,0.09005644172430038,98.468017578125,156.7169370865821,SHAP,3520.1255531189963,112.86303509184985,6396787.1538158655,1541.4390415428206,121.70893206758461,2874042.895531786
