Dataset,Model,TR TIME,TR CPU%,TR Energy (J),Accuracy,Precision,Recall,F1 Score,MCC,TE TIME,TE CPU%,TE Energy (J),XAI,XAI TR TIME,XAI TR CPU%,XAI TR Energy (J),XAI TE TIME,XAI TE CPU%,XAI TE Energy (J)
QoS-QoE,DT,0.2497238395735621,17.093912760416703,66.21610691329407,1.0,1.0,1.0,1.0,1.0,0.0034941947087645,17.09391276041667,0.9265113447178935,Permutation Importance,4.660478992387652,17.090468295796196,1235.74272621523,2.3466709097847342,17.022705078125,622.0553839485968
QoS-QoE,DT,0.2497238395735621,17.093912760416703,66.21610691329407,1.0,1.0,1.0,1.0,1.0,0.0034941947087645,17.09391276041667,0.9265113447178935,SHAP,1223.4309035353365,32.35669305428576,344696.22964640486,521.1378454053774,43.876043311827765,153352.77329435042
QoS-QoE,DT,0.2497238395735621,17.093912760416703,66.21610691329407,1.0,1.0,1.0,1.0,1.0,0.0034941947087645,17.09391276041667,0.9265113447178935,LIME (ALL),4400.100967346691,87.08939165159765,1501452.4598289228,1876.206673230976,99.38680947856707,665296.7260235382
QoS-QoE,KNN,0.0106544028967618,99.554443359375,3.7799574269955567,0.8086696562032885,0.7991945592463237,0.8086696562032885,0.8015045781001947,0.4917820609739165,1.9696695497259495,99.554443359375,698.7972123220948,Permutation Importance,2010.341986336745,55.18568778678807,616284.5620222313,877.3147758180276,31.422031570647945,246288.34392365822
QoS-QoE,KNN,0.0106544028967618,99.554443359375,3.7799574269955567,0.8086696562032885,0.7991945592463237,0.8086696562032885,0.8015045781001947,0.4917820609739165,1.9696695497259495,99.554443359375,698.7972123220948,SHAP,7458.450405447744,84.36523027374686,2522974.731273825,3198.341999246739,95.7855730378728,1121603.3396636671
QoS-QoE,KNN,0.0106544028967618,99.554443359375,3.7799574269955567,0.8086696562032885,0.7991945592463237,0.8086696562032885,0.8015045781001947,0.4917820609739165,1.9696695497259495,99.554443359375,698.7972123220948,LIME (ALL),20469.286179835908,68.8773003844135,6579600.219587047,8757.257422462106,65.55732297319966,2783313.9272575476
QoS-QoE,MLP,20.200639485381544,69.71128188380041,6511.557029720567,0.8587685037851391,0.8698247823616164,0.8587685037851391,0.8411376611176546,0.624365983562689,0.0201791934669017,69.7774251302082,6.5060946591468385,Permutation Importance,22.79180123656988,70.1041364589015,7356.534177768643,10.64081905875355,70.67105689546442,3441.1049750787242
QoS-QoE,MLP,20.200639485381544,69.71128188380041,6511.557029720567,0.8587685037851391,0.8698247823616164,0.8587685037851391,0.8411376611176546,0.624365983562689,0.0201791934669017,69.7774251302082,6.5060946591468385,SHAP,3270.1405147928745,99.9519709914418,1161589.7448774774,1391.248597483151,99.97774851435334,494225.72440899914
QoS-QoE,MLP,20.200639485381544,69.71128188380041,6511.557029720567,0.8587685037851391,0.8698247823616164,0.8587685037851391,0.8411376611176546,0.624365983562689,0.0201791934669017,69.7774251302082,6.5060946591468385,LIME (ALL),4660.052245075814,99.9519709914418,1655301.62205161,1974.7460202956568,99.19413407789324,699824.927852872
QoS-QoE,SGD,7.171375968493521,99.95772406907597,2547.396167928578,0.7354260089686099,0.6518723749063878,0.7354260089686099,0.6309620210277779,0.0558203138030666,0.0035373158752918,99.73958333333334,1.2556768354542036,Permutation Importance,8.431258815340698,99.74203708377416,2992.9518022341085,4.274526007473469,99.7445415884222,1517.3948158740998
QoS-QoE,SGD,7.171375968493521,99.95772406907597,2547.396167928578,0.7354260089686099,0.6518723749063878,0.7354260089686099,0.6309620210277779,0.0558203138030666,0.0035373158752918,99.73958333333334,1.2556768354542036,SHAP,2904.151852818206,99.9519709914418,1031586.5616600948,1245.8509279852733,99.97774851435334,442574.8054682963
QoS-QoE,SGD,7.171375968493521,99.95772406907597,2547.396167928578,0.7354260089686099,0.6518723749063878,0.7354260089686099,0.6309620210277779,0.0558203138030666,0.0035373158752918,99.73958333333334,1.2556768354542036,LIME (ALL),4412.8928959500045,99.9519709914418,1567507.9128833306,1895.164966143668,97.38370692101569,667893.3938021451
QoS-QoE,GNB,0.032597285695374,99.39371744791724,11.559135214469038,0.3655913978494624,0.7159902271561981,0.3655913978494624,0.4738280087877173,0.1179065050149403,0.0114331115037202,99.39371744791669,4.054229638278069,Permutation Importance,20.404007744044065,98.42788896449272,7213.929193142355,6.25131843239069,97.08692310713592,2201.0711116737652
QoS-QoE,GNB,0.032597285695374,99.39371744791724,11.559135214469038,0.3655913978494624,0.7159902271561981,0.3655913978494624,0.4738280087877173,0.1179065050149403,0.0114331115037202,99.39371744791669,4.054229638278069,SHAP,2997.570490837097,99.9519709914418,1064769.8855607922,1289.431482290849,99.97774851435334,458056.3168680444
QoS-QoE,GNB,0.032597285695374,99.39371744791724,11.559135214469038,0.3655913978494624,0.7159902271561981,0.3655913978494624,0.4738280087877173,0.1179065050149403,0.0114331115037202,99.39371744791669,4.054229638278069,LIME (ALL),4526.512356185354,99.9519709914418,1607866.790194832,1937.275139609352,99.69507307997836,687600.4564610529
QoS-QoE,RF,6.43722824845463,98.79616487892856,2278.4877033247794,0.99995178166739,0.9999519895050304,0.99995178166739,0.999951831446624,0.9998779179153336,0.0900564417243003,98.468017578125,31.843789828913604,Permutation Importance,104.98158380761744,93.42855420286782,36546.297496612795,42.95903262961656,86.68902185123552,14640.276209126732
